"Time","RelativeSeconds","Source","Line"
"2026-06-15 21:03:40.346","8.324","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}20.log","[2026/06/15 21:03:40.346] warn: 5516607.600000024: [Armory] Active profile {""activeProfile"":{""guid"":""27530668-c3e2-4e0a-a06e-a4854383c4e9"",""name"":""OS_P4_RENAMED"",""dpi"":{""X"":1600,""Y"":1600},""brightness"":{""isEnabled"":true,""value"":33},""switchOffLighting"":{""isDisplayOn"":false,""isIdleEnabled"":false,""idleMinutes"":1},""scrollWheel"":{""accelerationEnabled"":false,""smartReelEnabled"":false,""scrollMode"":""Tactile""},""quickEffects"":{""selectedEffectId"":3},""ledPowerSettings"":{""idleState"":1,""ileStateValue"":60},""lowBatteryEffects"":5,""mappings"":[],""dpiStages"":{""stages"":[{""x"":400,""y"":400,""independent"":false,""visible"":true},{""x"":800,""y"":800,""independent"":false,""visible"":true},{""x"":1600,""y"":1600,""independent"":false,""visible"":true},{""x"":3200,""y"":3200,""independent"":false,""visible"":true},{""x"":6400,""y"":6400,""independent"":false,""visible"":true}],""active"":3,""enable"":true,""count"":5},""pollingRateWireless"":1000,""pollingRate"":1000,""sidePanelMappings"":{},""appEngine"":{""mappings"":[],""hash"":""de2ccb2014607a84df08306567cd96f0""}}}"
"2026-06-15 21:03:40.350","8.328","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}20.log","[2026/06/15 21:03:40.350] info: RzMappingEngine.callMappingEngineAction() args: {""action"":""localStorageSetItem"",""payload"":{""key"":""synapse_172_{A39BD4A9-2333-58EC-AD1A-73011C07BE69}"",""value"":""{\""productId\"":170,\""editionId\"":0,\""name\"":\""Razer Basilisk V3 Pro\"",\""reportIDs\"":{\""4\"":\""razerKeyReportID\"",\""5\"":\""hardwareEventReportID\""},\""category\"":\""MOUSE\"",\""calibration\"":{\""calibrationTrackingMode\"":false,\""smartTracking\"":{\""isAsymmetric\"":false,\""trackingDistance\"":2,\""liftOffDistance\"":13,\""landingDistance\"":12},\""presetTracking\"":{\""isAsymmetric\"":false,\""surfaceDistance\"":5,\""liftOffDistance\"":5,\""landingDistance\"":3},\""selectedProfile\"":{},\""profiles\"":[{\""type\"":\""default\""}]},\""schemaVersion\"":12,\""defaultMappings\"":{\""appEngine\"":{\""mappings\"":[{\""input\"":{\""type\"":\""mouse\"",\""id\"":0,\""data\"":1,\""hypershift\"":false},\""output\"":{\""type\"":\""turbo\"",\""guid\"":\""069a1429-bd96-44ba-bf69-ef11e68a4edb\"",\""flag\"":0,\""repeat\"":0,\""delay\"":143}},{\""input\"":{\""type\"":\""mouse\"",\""id\"":0,\""data\"":2,\""hypershift\"":false},\""output\"":{\""type\"":\""turbo\"",\""guid\"":\""069a1429-bd96-44ba-bf69-ef11e68a4edb\"",\""flag\"":1}},{\""input\"":{\""type\"":\""mouse\"",\""id\"":0,\""data\"":4,\""hypershift\"":false},\""output\"":{\""type\"":\""turbo\"",\""guid\"":\""176e460e-5261-4917-b8f7-30d8ebbe84da\"",\""flag\"":0,\""repeat\"":0,\""delay\"":143}},{\""input\"":{\""type\"":\""mouse\"",\""id\"":0,\""data\"":8,\""hypershift\"":false},\""output\"":{\""type\"":\""turbo\"",\""guid\"":\""176e460e-5261-4917-b8f7-30d8ebbe84da\"",\""flag\"":1}},{\""input\"":{\""type\"":\""razerKey\"",\""key\"":84,\""hypershift\"":false,\""flag\"":0},\""output\"":{\""type\"":\""disabled\""}},{\""input\"":{\""type\"":\""razerKey\"",\""key\"":84,\""hypershift\"":false,\""flag\"":1},\""output\"":{\""type\"":\""scrollModeSwitch\"",\""flag\"":1}},{\""input\"":{\""type\"":\""razerKey\"",\""key\"":82,\""hypershift\"":false,\""flag\"":0},\""output\"":{\""type\"":\""sensitivity\"",\""sensitivityGroup\"":{\""sensitivityAssignment\"":\""DPI_CycleUp\"",\""independent\"":false,\""x\"":800,\""y\"":800},\""flag\"":0}},{\""input\"":{\""type\"":\""razer..."
"2026-06-15 21:03:40.354","8.332","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}20.log","[2026/06/15 21:03:40.354] info: setSingleButtonAssignment 1, 5, 0, 1, 1 5,0,0,0,0:,"
"2026-06-15 21:03:40.354","8.332","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}20.log","[2026/06/15 21:03:40.354] info: setSingleButtonMapping buttonId: 5 buttonMode 0 fnId 1 ButtonCode fnDataByteSize 1 fnDataByte {""0"":5,""1"":0,""2"":0,""3"":0,""4"":0}"
"2026-06-15 21:03:40.354","8.332","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}20.log","[2026/06/15 21:03:40.354] info: setSingleButtonMapping profileId: 1 {""inputID"":""Button5"",""inputType"":""MouseInput"",""mouseInput"":""Button5"",""mouseGroup"":{""mouseAssignment"":""Next""},""outputType"":""mouseGroup""} {""inputID"":""Button5"",""inputType"":""MouseInput"",""mouseInput"":""Button5"",""mouseGroup"":{""mouseAssignment"":""Next""},""outputType"":""mouseGroup""}"
"2026-06-15 21:03:40.360","8.338","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}20.log","[2026/06/15 21:03:40.360] info: [saveRuntimeDataToWindowStorage] {""serialNumber"":""632546H26201116"",""editionId"":0,""layoutId"":0,""activeProfile"":""27530668-c3e2-4e0a-a06e-a4854383c4e9"",""productId"":170,""profiles"":[{""name"":""BRIAN-DESKTOP-Default"",""guid"":""49277292-1bea-4673-9ed9-5d91113c8cbc"",""dpiStages"":{""stages"":[{""x"":600,""y"":600,""independent"":false,""visible"":true},{""x"":800,""y"":800,""independent"":false,""visible"":true},{""x"":1000,""y"":1000,""independent"":false,""visible"":true},{""x"":1200,""y"":1200,""independent"":false,""visible"":true},{""x"":1400,""y"":1400,""independent"":false,""visible"":true}],""active"":2,""enable"":true,""count"":5}},{""name"":""Brian’s MacBook Pro (2)-Default"",""guid"":""26a33407-4094-469b-b3b1-f3caae38693b"",""dpiStages"":{""stages"":[{""x"":400,""y"":400,""independent"":false,""visible"":true},{""x"":800,""y"":800,""independent"":false,""visible"":true},{""x"":1600,""y"":1600,""independent"":false,""visible"":true},{""x"":3200,""y"":3200,""independent"":false,""visible"":true},{""x"":6400,""y"":6400,""independent"":false,""visible"":true}],""active"":2,""enable"":true,""count"":5}},{""name"":""OPENSNEK_CAPTURE_1_foo"",""guid"":""cbb11d67-38cd-46db-bc16-a95424aaee61"",""dpiStages"":{""stages"":[{""x"":400,""y"":400,""independent"":false,""visible"":true},{""x"":800,""y"":800,""independent"":false,""visible"":true},{""x"":1600,""y"":1600,""independent"":false,""visible"":true},{""x"":3200,""y"":3200,""independent"":false,""visible"":true},{""x"":6400,""y"":6400,""independent"":false,""visible"":true}],""active"":2,""enable"":true,""count"":5}},{""name"":""OS_P4_RENAMED"",""guid"":""27530668-c3e2-4e0a-a06e-a4854383c4e9"",""dpiStages"":{""stages"":[{""x"":400,""y"":400,""independent"":false,""visible"":true},{""x"":800,""y"":800,""independent"":false,""visible"":true},{""x"":1600,""y"":1600,""independent"":false,""visible"":true},{""x"":3200,""y"":3200,""independent"":false,""visible"":true},{""x"":6400,""y"":6400,""independent"":false,""visible"":true}],""active"":3,""enable"":true,""count"":5}},{""name"":""OS_P5"",""guid"":""18f2a4cc-ecb8-4765-b532-9df401a686d6"",""dpiStages"":{""stages"":[{""x"":400,""y"":400,""independent"":false,""visible"":true},{""x"":80..."
"2026-06-15 21:03:40.361","8.339","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}20.log","[2026/06/15 21:03:40.361] info: set calibration result 372 {""taskRunner"":{""brightness"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""version"":""108"",""value"":33},""on"":{""timerTick"":null,""value"":{}},""off"":{""timerTick"":null,""value"":{}}},""dpi"":{""currValue"":{""x"":null,""y"":null},""lastModifiedDate"":null,""setting"":{""value"":{}},""otfsOn"":{""timerTick"":null,""value"":{}},""otfsChange"":{""timerTick"":null,""value"":{}},""otfsOff"":{""timerTick"":null,""value"":{}},""clutchOn"":{""timerTick"":null,""value"":{}},""clutchOff"":{""timerTick"":null,""value"":{}}},""pollingRate"":{""currValue"":{""pollingRate"":null},""lastModifiedDate"":null,""setting"":{""value"":{""pollingRate"":null}}},""lightingEffect"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""value"":{""effectId"":null}}},""switchProfile"":{""setting"":{""version"":null}},""calibration"":{""setting"":{""version"":null}},""obm"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""value"":{""timerTick"":null,""macroData"":null,""slot"":2,""guid"":null,""name"":null},""timerTick"":1781571812977},""init"":{""value"":{""version"":null},""version"":64},""mapping"":{""value"":{""version"":null,""macroData"":{}},""version"":108}}},""taskMaker"":{""brightness"":{""setBrightness"":{""timerTick"":null},""switchOffLighting"":{""timerTick"":null}},""dpi"":{""otfs"":{""type"":null,""timerTick"":null,""localStorageVersion"":null,""value"":{}},""clutch"":{""timerTick"":null,""value"":{}},""stages"":{""timerTick"":null,""value"":{}}},""pollingRate"":{""setPollingRate"":{""timerTick"":null,""value"":{}}},""lightingEffect"":{""setEffect"":{""timerTick"":null,""value"":{}},""toggleChroma"":{""timerTick"":null,""value"":null},""customColors"":{""timerTick"":null,""value"":null}},""exclusive"":{""switchProfile"":{""timerTick"":null,""value"":null},""otfm"":{""timerTick"":null}},""calibration"":{""setProfile"":{""timerTick"":null}},""keyMapping"":{""setKeyMapping"":{""version"":null,""value"":{}}},""profile"":{""addProfile"":{""timerTick"":null,""value"":{}},""deleteProfile"":{""timerTick"":null,""value"":{}},""renameProfile"":{""timerTick"":null,""value"":{}},""duplicateProfile"":{""timerTick"":null,""value"":{}},""switchProfile"":{""tim..."
"2026-06-15 21:03:40.371","8.349","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}20.log","[2026/06/15 21:03:40.371] info: set new low-batt threshold ==>> 377 {""taskRunner"":{""brightness"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""version"":""108"",""value"":33},""on"":{""timerTick"":null,""value"":{}},""off"":{""timerTick"":null,""value"":{}}},""dpi"":{""currValue"":{""x"":null,""y"":null},""lastModifiedDate"":null,""setting"":{""value"":{}},""otfsOn"":{""timerTick"":null,""value"":{}},""otfsChange"":{""timerTick"":null,""value"":{}},""otfsOff"":{""timerTick"":null,""value"":{}},""clutchOn"":{""timerTick"":null,""value"":{}},""clutchOff"":{""timerTick"":null,""value"":{}}},""pollingRate"":{""currValue"":{""pollingRate"":null},""lastModifiedDate"":null,""setting"":{""value"":{""pollingRate"":null}}},""lightingEffect"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""value"":{""effectId"":null}}},""switchProfile"":{""setting"":{""version"":null}},""calibration"":{""setting"":{""version"":null}},""obm"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""value"":{""timerTick"":null,""macroData"":null,""slot"":2,""guid"":null,""name"":null},""timerTick"":1781571812977},""init"":{""value"":{""version"":null},""version"":64},""mapping"":{""value"":{""version"":null,""macroData"":{}},""version"":108}}},""taskMaker"":{""brightness"":{""setBrightness"":{""timerTick"":null},""switchOffLighting"":{""timerTick"":null}},""dpi"":{""otfs"":{""type"":null,""timerTick"":null,""localStorageVersion"":null,""value"":{}},""clutch"":{""timerTick"":null,""value"":{}},""stages"":{""timerTick"":null,""value"":{}}},""pollingRate"":{""setPollingRate"":{""timerTick"":null,""value"":{}}},""lightingEffect"":{""setEffect"":{""timerTick"":null,""value"":{}},""toggleChroma"":{""timerTick"":null,""value"":null},""customColors"":{""timerTick"":null,""value"":null}},""exclusive"":{""switchProfile"":{""timerTick"":null,""value"":null},""otfm"":{""timerTick"":null}},""calibration"":{""setProfile"":{""timerTick"":null}},""keyMapping"":{""setKeyMapping"":{""version"":null,""value"":{}}},""profile"":{""addProfile"":{""timerTick"":null,""value"":{}},""deleteProfile"":{""timerTick"":null,""value"":{}},""renameProfile"":{""timerTick"":null,""value"":{}},""duplicateProfile"":{""timerTick"":null,""value"":{}},""switchProfi..."
"2026-06-15 21:03:40.381","8.359","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}20.log","[2026/06/15 21:03:40.381] info: set OBM result 371 {""taskRunner"":{""brightness"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""version"":""108"",""value"":33},""on"":{""timerTick"":null,""value"":{}},""off"":{""timerTick"":null,""value"":{}}},""dpi"":{""currValue"":{""x"":null,""y"":null},""lastModifiedDate"":null,""setting"":{""value"":{}},""otfsOn"":{""timerTick"":null,""value"":{}},""otfsChange"":{""timerTick"":null,""value"":{}},""otfsOff"":{""timerTick"":null,""value"":{}},""clutchOn"":{""timerTick"":null,""value"":{}},""clutchOff"":{""timerTick"":null,""value"":{}}},""pollingRate"":{""currValue"":{""pollingRate"":null},""lastModifiedDate"":null,""setting"":{""value"":{""pollingRate"":null}}},""lightingEffect"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""value"":{""effectId"":null}}},""switchProfile"":{""setting"":{""version"":null}},""calibration"":{""setting"":{""version"":null}},""obm"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""value"":{""timerTick"":null,""macroData"":null,""slot"":2,""guid"":null,""name"":null},""timerTick"":1781571812977},""init"":{""value"":{""version"":null},""version"":64},""mapping"":{""value"":{""version"":null,""macroData"":{}},""version"":108}}},""taskMaker"":{""brightness"":{""setBrightness"":{""timerTick"":null},""switchOffLighting"":{""timerTick"":null}},""dpi"":{""otfs"":{""type"":null,""timerTick"":null,""localStorageVersion"":null,""value"":{}},""clutch"":{""timerTick"":null,""value"":{}},""stages"":{""timerTick"":null,""value"":{}}},""pollingRate"":{""setPollingRate"":{""timerTick"":null,""value"":{}}},""lightingEffect"":{""setEffect"":{""timerTick"":null,""value"":{}},""toggleChroma"":{""timerTick"":null,""value"":null},""customColors"":{""timerTick"":null,""value"":null}},""exclusive"":{""switchProfile"":{""timerTick"":null,""value"":null},""otfm"":{""timerTick"":null}},""calibration"":{""setProfile"":{""timerTick"":null}},""keyMapping"":{""setKeyMapping"":{""version"":null,""value"":{}}},""profile"":{""addProfile"":{""timerTick"":null,""value"":{}},""deleteProfile"":{""timerTick"":null,""value"":{}},""renameProfile"":{""timerTick"":null,""value"":{}},""duplicateProfile"":{""timerTick"":null,""value"":{}},""switchProfile"":{""timerTick"":..."
"2026-06-15 21:03:40.381","8.359","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}20.log","[2026/06/15 21:03:40.381] info: {""maxProfilesSupported"":5,""profileIdList"":[1,4,5],""numOfProfiles"":3,""profiles"":[{""id"":1,""name"":"""",""dpi"":{""x"":800,""y"":800},""dpiActiveStage"":2,""dpiNumOfStage"":5,""dpiStages"":[{""id"":1,""dpi"":{""x"":600,""y"":600}},{""id"":2,""dpi"":{""x"":800,""y"":800}},{""id"":3,""dpi"":{""x"":1000,""y"":1000}},{""id"":4,""dpi"":{""x"":1200,""y"":1200}},{""id"":5,""dpi"":{""x"":1400,""y"":1400}}],""scrollMode"":0,""guid"":"""",""owner"":"""",""buttonAssignments"":{""1"":{""id"":1,""idHex"":""0x1"",""rapidTrigger"":{""enabled"":0,""upSensitivity"":0,""downSensitivity"":0},""actuationPoint"":{""thresholdH"":0,""thresholdL"":0},""NormalMode"":{""fnId"":1,""fnIdEnum"":""ButtonCode"",""fnDataByteSize"":1,""fnDataByte"":[1,0,0,0,0],""mapping"":{""inputID"":""LeftClick"",""inputType"":""MouseInput"",""mouseInput"":""LeftClick"",""outputType"":""mouseGroup"",""mouseGroup"":{""mouseAssignment"":""Click""}},""thresholdL"":0,""thresholdH"":0},""HypershiftMode"":{""fnId"":1,""fnIdEnum"":""ButtonCode"",""fnDataByteSize"":1,""fnDataByte"":{""0"":1,""1"":0,""2"":0,""3"":0,""4"":0},""mapping"":{""inputID"":""LeftClick"",""inputType"":""MouseInput"",""mouseInput"":""LeftClick"",""mouseGroup"":{""mouseAssignment"":""Click""},""outputType"":""mouseGroup"",""isHyperShift"":true},""thresholdL"":0,""thresholdH"":0},""inputID"":""LeftClick""},""2"":{""id"":2,""idHex"":""0x2"",""rapidTrigger"":{""enabled"":0,""upSensitivity"":0,""downSensitivity"":0},""actuationPoint"":{""thresholdH"":0,""thresholdL"":0},""NormalMode"":{""fnId"":1,""fnIdEnum"":""ButtonCode"",""fnDataByteSize"":1,""fnDataByte"":[2,0,0,0,0],""mapping"":{""inputID"":""RightClick"",""inputType"":""MouseInput"",""mouseInput"":""RightClick"",""outputType"":""mouseGroup"",""mouseGroup"":{""mouseAssignment"":""Menu""}},""thresholdL"":0,""thresholdH"":0},""HypershiftMode"":{""fnId"":1,""fnIdEnum"":""ButtonCode"",""fnDataByteSize"":1,""fnDataByte"":[2,0,0,0,0],""mapping"":{""inputID"":""RightClick"",""inputType"":""MouseInput"",""mouseInput"":""RightClick"",""outputType"":""mouseGroup"",""mouseGroup"":{""mouseAssignment"":""Menu""},""isHyperShift"":true},""thresholdL"":0,""thresholdH"":0},""inputID"":""RightClick""},""3"":{""id"":3,""idHex"":""0x3"",""rapidTrigger"":{""enabled"":0,""upSensitivity"":0..."
"2026-06-15 21:03:40.568","8.546","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}20.log","[2026/06/15 21:03:40.568] info: set polling rate result 381 {""taskRunner"":{""brightness"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""version"":""108"",""value"":33},""on"":{""timerTick"":null,""value"":{}},""off"":{""timerTick"":null,""value"":{}}},""dpi"":{""currValue"":{""x"":null,""y"":null},""lastModifiedDate"":null,""setting"":{""value"":{}},""otfsOn"":{""timerTick"":null,""value"":{}},""otfsChange"":{""timerTick"":null,""value"":{}},""otfsOff"":{""timerTick"":null,""value"":{}},""clutchOn"":{""timerTick"":null,""value"":{}},""clutchOff"":{""timerTick"":null,""value"":{}}},""pollingRate"":{""currValue"":{""pollingRate"":null},""lastModifiedDate"":null,""setting"":{""value"":{""pollingRate"":null}}},""lightingEffect"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""value"":{""effectId"":null}}},""switchProfile"":{""setting"":{""version"":null}},""calibration"":{""setting"":{""version"":null}},""obm"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""value"":{""timerTick"":null,""macroData"":null,""slot"":2,""guid"":null,""name"":null},""timerTick"":1781571812977},""init"":{""value"":{""version"":null},""version"":64},""mapping"":{""value"":{""version"":null,""macroData"":{}},""version"":108}}},""taskMaker"":{""brightness"":{""setBrightness"":{""timerTick"":null},""switchOffLighting"":{""timerTick"":null}},""dpi"":{""otfs"":{""type"":null,""timerTick"":null,""localStorageVersion"":null,""value"":{}},""clutch"":{""timerTick"":null,""value"":{}},""stages"":{""timerTick"":null,""value"":{}}},""pollingRate"":{""setPollingRate"":{""timerTick"":null,""value"":{}}},""lightingEffect"":{""setEffect"":{""timerTick"":null,""value"":{}},""toggleChroma"":{""timerTick"":null,""value"":null},""customColors"":{""timerTick"":null,""value"":null}},""exclusive"":{""switchProfile"":{""timerTick"":null,""value"":null},""otfm"":{""timerTick"":null}},""calibration"":{""setProfile"":{""timerTick"":null}},""keyMapping"":{""setKeyMapping"":{""version"":null,""value"":{}}},""profile"":{""addProfile"":{""timerTick"":null,""value"":{}},""deleteProfile"":{""timerTick"":null,""value"":{}},""renameProfile"":{""timerTick"":null,""value"":{}},""duplicateProfile"":{""timerTick"":null,""value"":{}},""switchProfile"":{""ti..."
"2026-06-15 21:03:40.598","8.576","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}20.log","[2026/06/15 21:03:40.598] info: set polling rate result 382 {""taskRunner"":{""brightness"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""version"":""108"",""value"":33},""on"":{""timerTick"":null,""value"":{}},""off"":{""timerTick"":null,""value"":{}}},""dpi"":{""currValue"":{""x"":null,""y"":null},""lastModifiedDate"":null,""setting"":{""value"":{}},""otfsOn"":{""timerTick"":null,""value"":{}},""otfsChange"":{""timerTick"":null,""value"":{}},""otfsOff"":{""timerTick"":null,""value"":{}},""clutchOn"":{""timerTick"":null,""value"":{}},""clutchOff"":{""timerTick"":null,""value"":{}}},""pollingRate"":{""currValue"":{""pollingRate"":null},""lastModifiedDate"":null,""setting"":{""value"":{""pollingRate"":null}}},""lightingEffect"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""value"":{""effectId"":null}}},""switchProfile"":{""setting"":{""version"":null}},""calibration"":{""setting"":{""version"":null}},""obm"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""value"":{""timerTick"":null,""macroData"":null,""slot"":2,""guid"":null,""name"":null},""timerTick"":1781571812977},""init"":{""value"":{""version"":null},""version"":64},""mapping"":{""value"":{""version"":null,""macroData"":{}},""version"":108}}},""taskMaker"":{""brightness"":{""setBrightness"":{""timerTick"":null},""switchOffLighting"":{""timerTick"":null}},""dpi"":{""otfs"":{""type"":null,""timerTick"":null,""localStorageVersion"":null,""value"":{}},""clutch"":{""timerTick"":null,""value"":{}},""stages"":{""timerTick"":null,""value"":{}}},""pollingRate"":{""setPollingRate"":{""timerTick"":null,""value"":{}}},""lightingEffect"":{""setEffect"":{""timerTick"":null,""value"":{}},""toggleChroma"":{""timerTick"":null,""value"":null},""customColors"":{""timerTick"":null,""value"":null}},""exclusive"":{""switchProfile"":{""timerTick"":null,""value"":null},""otfm"":{""timerTick"":null}},""calibration"":{""setProfile"":{""timerTick"":null}},""keyMapping"":{""setKeyMapping"":{""version"":null,""value"":{}}},""profile"":{""addProfile"":{""timerTick"":null,""value"":{}},""deleteProfile"":{""timerTick"":null,""value"":{}},""renameProfile"":{""timerTick"":null,""value"":{}},""duplicateProfile"":{""timerTick"":null,""value"":{}},""switchProfile"":{""ti..."
